,r1_smiles,r1HitCount,r2_smiles,r2HitCount,r3_smiles,r3HitCount,r1r2_smiles,r1r2HitCount,r1r3_smiles,r1r3HitCount,r2r3_smiles,r2r3HitCount,r1r2r3_smiles,r1r2r3HitCount
0,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O,1.9807352489244008,Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,43.63697564535956,OC(=O)c1nc2c(cc1)C(=O)NC=C2,135.34872464658883,OC(CCCN1CC2=C(C=C(C=C2)C=O)C1=O)=O-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,196.7961451290719,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,129.06999078057777,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(cnc1)c2ccc(F)cc2,178.9526448217578,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Nc1ccc(cc1)C(C(F)(F)F)(O)C(F)(F)F-OC(=O)Cc1cc(co1)C(F)(F)F,69.0634315457898
1,OC(CCC(C=C1)=CC=C1C2=CN=C(C=O)C=C2)=O,1.917495774431469,Cl.NCC1C(=O)Nc2c(cccc2)C1,42.32198832206515,O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,93.4340619237861,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1,163.19964850952672,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,117.59229025814382,NCc1nc(sc1)c2sccc2-OC(=O)c1c2c(ccc1)NC(=O)C(C)O2,148.01387715119853,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(cnc1)c2ccc(F)cc2,39.92105869698832
2,O=C(O)CCC1=CC=CC(C2=CN=C(C=O)C=C2)=C1,1.7756031038721574,Cl.NC[C@@H]1O[C@H](CC1)c2ccccc2,20.34897433927474,CCCNS(=O)(=O)c1ccc(C(O)=O)cc1,36.993507990165945,O=C1C2=C(C=C(C=C2)C=O)CN1CCCC(O)=O-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,83.17466003380456,OC(CCCN(CC1=C2C=CC(C3=CC(C=O)=CC=C3)=C1)C2=O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,99.8343385064536,Nc1ccc(cc1)C(C(F)(F)F)(O)C(F)(F)F-OC(=O)Cc1cc(co1)C(F)(F)F,74.88588083896742,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-NCc1nc(sc1)c2sccc2-OC(=O)c1c2c(ccc1)NC(=O)C(C)O2,35.928952827289486
3,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2,1.522213045482483,Nc1cc(nn1)c2occc2,17.6765807467732,OC(=O)c1nc(sc1)c2nccnc2,35.89049055009219,O=C1C2=C(C=C(C=O)C=C2)N=C(C)N1CCCC(O)=O-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,82.70804202519976,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-OC(=O)Cc1cc(co1)C(F)(F)F,99.61777811923784,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(ccc1)c2nnnn2,74.1827270282729,OC(CCCCCN(C1=O)C(C2=C(C=O)C=CC3=CC=CC1=C32)=O)=O-Nc1ccc(cc1)c2nnnn2-OC(=O)C(Cc1ccccc1)N2C(=O)OCCC2,32.33605754456054
4,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O,1.3954459895513214,COc1cc2c(CC(N)C(O)=O)cnc2cc1,10.198726567301785,OC(=O)C1CCN(CC1)c2n3c(nnn3)cnc2,33.68445566994469,O=C1C2=C(C=CC(C=O)=C2)N=C(C)N1CCCC(O)=O-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,81.42484250153657,O=C1C2=C(C=C(C=C2)N3CCC(C=O)CC3)CN1CCCC(O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,87.273836047941,NCc1nc(sc1)c2sccc2-O=C1Nc2c(OC1)c(ccc2)C(O)=O,68.90907344806392,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Nc1ccc(cc1)C(C(F)(F)F)(O)C(F)(F)F-OC(=O)Cc1cc(nn1)C(F)(F)F,30.340004609711123
5,OC(CCCN1CC2=C(C=C(C=C2)N3CCC(C=O)CC3)C1=O)=O,1.3813287492317148,Cl.NCC1=NC2=C(COCC2)C(=O)N1,7.6535898125384145,OC(=O)c1ncc(cc1)c2occc2,22.382769283958208,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NC[C@@H]1O[C@H](CC1)c2ccccc2,81.30818799938537,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,82.50950752919483,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1n(C)nc(c1)c2ccccc2,58.71334319299324,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O-NC1Cc2c(NC1)nnc2C-O=Cc1ccc(cc1)c2cnccc2,25.549477566072525
6,OC(CCCN1CC2=C(C=C(C=C2)C=O)C1=O)=O,1.3679317762753531,OC(=O)c1cc2c(ccc(N)c2)n1,7.592991318377382,OC(=O)c1ccc(cc1)C2NC(=O)CCC2,18.598570989551323,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1,63.6933581745544,OC(CCCN1CC2=C(C=CC(N3CCC(C=O)C3)=C2)C1=O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,80.3439036570375,Nc1ccc(cc1)c2nnnn2-OC(=O)C(Cc1ccccc1)N2C(=O)OCCC2,52.0333819913952,O=C1C2=C(C=C(C=O)C=C2)N=NN1CCCC(O)=O-Nc1cnc(cc1)N2C(=O)CC(=N2)C3CC3-X,24.75105639213276
7,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O,1.3143438844499078,Cl.NCc1nc(nn1)c2ccccc2,6.247704748002459,OC(=O)c1c2c(nccn2)cc(F)c1,18.0046385218193,OC(CCCN1CC2=C(C=C(C=C2)N3CCC(C=O)CC3)C1=O)=O-Cl.NC[C@@H]1O[C@H](CC1)c2ccccc2,62.52681315304241,OC(CCCCCN(C1=O)C(C2=C(C=O)C=CC3=CC=CC1=C32)=O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,71.89804855562384,Nc1cc(nn1)c2occc2-O=Cc1cc(ccc1)OC(C(O)=O)c2ccccc2,47.81445912722803,O=C1C2=C(C=C(C=C2)C=O)CN1CCCC(O)=O-Nc1cc(nn1)c2occc2-O=Cc1cc(ccc1)OC(C(O)=O)c2ccccc2,21.95658228334357
8,O=C1C2=C(C=C(C=C2)N3CCC(C=O)CC3)CN1CCCC(O)=O,1.275305393362016,Nc1cc2c(cc1)nc(S)n2,6.217405500921942,N#Cc1c(C)nc(C(O)=O)cc1,17.071316072526123,O=C1C2=C(C=C(C=C2)N3CCC(C=O)CC3)CN1CCCC(O)=O-Cl.NC[C@@H]1O[C@H](CC1)c2ccccc2,59.72710510141364,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,71.24836739397664,Nc1cnc(cc1)N2C(=O)CC(=N2)C3CC3-X,41.13449792563,O=C(O)CCC1=CC=CC(C2=CN=C(C=O)C=C2)=C1-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(cnc1)c2ccc(F)cc2,21.557371696373696
9,OC(CCCN1CC2=C(C=CC(N3CCC(C=O)C3)=C2)C1=O)=O,1.27314459127228,Nc1cc2c(cc1)ccn2,6.187106253841425,OC(=O)c1c2c(ncc1)nc(CC3CC3)n2,13.287117778119235,OC(CCCC1=CC(C=O)=CC=C1)=O-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,52.49452596803934,OC(CCCN1CC2=C(C=C(C=C2)C=O)C1=O)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,71.0318070067609,Cl.NCC1C(=O)Nc2c(cccc2)C1-OC(=O)CCc1oc(cn1)c2ccc(Cl)cc2,38.32188268285188,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(ccc1)c2nnnn2,20.359739935464045
