File	Ligand_RMSD	Final_Score	Backbone_RMS
ternary0	24.3799	46159.9	32.6229
ternary100	3.34753	9112.82	4.89271
ternary101	2.28256	2224.67	3.26722
ternary102	3.19878	-709.841	4.60858
ternary103	4.16214	-598.318	8.3446
ternary104	3.80963	20.38	4.83408
ternary105	4.94164	9832.46	6.77087
ternary106	3.88005	-827.167	3.51656
ternary107	4.83064	-813.315	5.54894
ternary108	18.7884	42723.9	26.1704
ternary10	2.71527	-734.675	2.7401
ternary11	3.52386	-745.822	3.64948
ternary12	1.81518	500.814	6.57762
ternary13	2.98589	-513.68	3.42858
ternary14	4.06066	-530.965	4.79742
ternary15	4.73707	4255.12	11.1219
ternary16	5.6748	3895.06	5.06302
ternary17	7.46852	22868.2	9.03735
ternary18	1.64439	61.0934	2.34572
ternary19	18.1826	171282	25.688
ternary1	1.6818	-435.531	4.09042
ternary20	1.80453	-638.787	4.64592
ternary21	2.63939	354.607	2.8279
ternary22	3.06415	-782.576	3.93068
ternary23	4.95177	-193.095	4.23818
ternary24	3.57957	12003.3	5.94056
ternary25	21.9682	99984.8	25.2884
ternary26	4.20723	-684.565	4.27399
ternary27	2.0977	295.409	2.14323
ternary28	1.77612	-603.583	2.14011
ternary29	4.77513	212.394	4.79074
ternary2	2.39944	6072	4.03514
ternary30	2.85549	-671.319	3.2563
ternary31	3.27831	-631.66	3.54771
ternary32	3.05492	-584.924	4.25665
ternary33	4.79312	1634.16	3.57978
ternary34	4.86623	20963.2	10.7534
ternary35	3.19682	723.208	3.75376
ternary36	2.73198	822.087	4.17356
ternary37	19.0422	83244.5	17.6545
ternary38	2.32951	-441.772	4.52264
ternary39	3.47571	-623.678	4.58641
ternary3	2.60439	24.0995	3.03966
ternary40	6.81681	31245.3	8.87969
ternary41	0.26771	4508.33	1.14699
ternary42	2.4266	536.556	2.72117
ternary43	2.68568	-668.731	3.3182
ternary44	5.54414	-611.066	10.3233
ternary45	24.7489	137280	24.2204
ternary46	2.47254	-662.025	2.8721
ternary47	3.48847	-329.833	9.78993
ternary48	3.26271	12581.9	7.25676
ternary49	55.0931	63250.3	38.0592
ternary4	10.5641	64538.6	11.8192
ternary50	2.26981	10161.7	8.97477
ternary51	2.37024	10354.9	4.51778
ternary52	3.29464	5577.39	4.44464
ternary53	3.60068	-648.54	7.14224
ternary54	1.68484	365.059	3.40996
ternary55	25.6946	75578.2	20.7714
ternary56	37.1827	9383.32	38.2645
ternary57	30.0372	21671.5	28.0444
ternary58	2.38202	-611.222	3.05069
ternary59	2.99937	299.255	3.21987
ternary5	42.9909	10188	37.5122
ternary60	4.75072	1821.04	6.8775
ternary61	6.316	19173.6	11.1393
ternary62	2.33232	6728.11	4.25184
ternary63	1.72679	663.324	1.67486
ternary64	2.57088	30824.6	6.1364
ternary65	32.19	33469.1	24.8614
ternary66	2.25497	85.4476	1.81024
ternary67	1.70335	-448.566	2.63892
ternary68	2.92913	-616.65	3.06375
ternary69	8.54679	3093.08	11.5665
ternary6	21.5868	32296.1	18.3436
ternary70	3.99495	3609.55	6.35336
ternary71	2.49649	-88.7813	4.08502
ternary72	21.4081	60978.9	20.5486
ternary73	2.51038	-678.732	4.17043
ternary74	2.22342	1821.14	2.2331
ternary75	0.940951	-771.273	2.19297
ternary76	0.818932	3784.87	1.31384
ternary77	5.12705	20826.4	14.2776
ternary78	1.6832	1741.15	1.91235
ternary79	3.57817	-825.016	3.97217
ternary7	0.983822	1279.86	2.07567
ternary80	3.096	6214.25	4.73467
ternary81	2.30911	-587.914	2.45289
ternary82	2.23248	-537.745	2.93875
ternary83	7.8506	23525.2	34.1915
ternary84	3.16027	1439.79	4.13988
ternary85	1.67781	97.533	3.48051
ternary86	4.51449	2513.95	3.84114
ternary87	5.58494	1111.46	12.328
ternary88	31.7965	65677.3	28.2714
ternary89	1.41212	-324.127	2.52013
ternary8	1.17573	-642.922	1.49237
ternary90	1.68229	-592.521	1.60699
ternary91	2.85435	-635.13	4.03764
ternary92	2.48635	10781	12.3073
ternary93	5.10983	10164.7	4.25991
ternary94	2.69094	-804.58	3.33646
ternary95	0.829863	4632.52	1.12903
ternary96	1.08229	-785.278	1.73745
ternary97	1.25962	-669.678	1.79939
ternary98	14.5777	64251.6	36.6862
ternary99	4.41296	-692.585	4.21792
ternary9	3.94876	1206.8	4.79185
