filename,min_dist,I_sc
TER_0001.pdb,12.2153,-5.6650
TER_0002.pdb,16.4036,-11.4150
TER_0003.pdb,9.7809,-14.2060
TER_0004.pdb,25.0392,-8.6390
TER_0005.pdb,21.2455,-8.3140
TER_0006.pdb,24.9603,-14.3800
TER_0007.pdb,13.8428,-13.9140
TER_0008.pdb,16.7898,-19.4780
TER_0009.pdb,17.0035,-12.8280
TER_0010.pdb,19.9768,-12.1600
TER_0011.pdb,23.6577,-0.2660
TER_0012.pdb,13.6064,-15.9930
TER_0013.pdb,23.6361,-11.5650
TER_0014.pdb,13.6397,-11.6990
TER_0015.pdb,16.7630,-10.9310
TER_0016.pdb,11.6914,-16.0820
TER_0017.pdb,15.6349,-9.7440
TER_0018.pdb,22.7609,-11.7760
TER_0019.pdb,12.8667,-15.4100
TER_0020.pdb,13.9819,-12.0740
TER_0021.pdb,18.3349,-12.6190
TER_0022.pdb,12.3698,-16.4850
TER_0023.pdb,19.6815,-13.8080
TER_0024.pdb,12.1734,-17.2670
TER_0025.pdb,29.3158,-9.0290
TER_0026.pdb,14.7102,-17.1900
TER_0027.pdb,11.1218,-8.5530
TER_0028.pdb,17.3991,-13.0340
TER_0029.pdb,14.5440,-10.4160
TER_0030.pdb,16.7544,-3.4020
TER_0031.pdb,14.3232,-7.0570
TER_0032.pdb,15.7346,-12.2830
TER_0033.pdb,18.7566,-14.5880
TER_0034.pdb,15.4784,-9.2590
TER_0035.pdb,12.1504,-8.2870
TER_0036.pdb,17.0899,-17.0490
TER_0037.pdb,15.9083,-11.9510
TER_0038.pdb,39.5548,0.0000
TER_0039.pdb,15.5050,-8.7620
TER_0040.pdb,11.6397,-18.8070
TER_0041.pdb,16.8200,-17.4880
TER_0042.pdb,22.8134,-7.3890
TER_0043.pdb,23.6049,-6.8340
TER_0044.pdb,15.4756,-9.8550
TER_0045.pdb,13.4803,-11.0680
TER_0046.pdb,13.9945,-13.0890
TER_0047.pdb,17.3065,-12.4220
TER_0048.pdb,13.7717,-14.6260
TER_0049.pdb,15.7960,-9.3640
TER_0050.pdb,19.0563,-10.5240
TER_0051.pdb,12.5714,-17.0900
TER_0052.pdb,22.5672,-9.3610
TER_0053.pdb,29.2702,-0.9370
TER_0054.pdb,12.6933,-19.5690
TER_0055.pdb,13.8070,-8.3200
TER_0056.pdb,15.1606,-9.7490
TER_0057.pdb,12.3378,-11.6450
TER_0058.pdb,18.2342,-14.2560
TER_0059.pdb,16.7714,-6.0190
TER_0060.pdb,13.1188,-10.6590
TER_0061.pdb,20.3567,-22.7350
TER_0062.pdb,16.6080,-17.8780
TER_0063.pdb,17.4326,-11.8580
TER_0064.pdb,12.9301,-18.1040
TER_0065.pdb,25.9452,-8.7470
TER_0066.pdb,30.9730,-4.4200
TER_0067.pdb,16.8912,-17.0510
TER_0068.pdb,16.8458,-16.3020
TER_0069.pdb,13.1820,-16.5770
TER_0070.pdb,19.3419,-11.1140
TER_0071.pdb,17.7362,-8.7750
TER_0072.pdb,16.7265,-20.0590
TER_0073.pdb,16.0999,-15.0610
TER_0074.pdb,15.5049,-13.0910
TER_0075.pdb,20.2750,-15.9520
TER_0076.pdb,16.9696,-15.6530
TER_0077.pdb,15.8754,-7.3820
TER_0078.pdb,23.3548,-7.4720
TER_0079.pdb,19.7061,-8.2840
TER_0080.pdb,11.3932,-7.0490
TER_0081.pdb,22.1964,-12.2480
TER_0082.pdb,14.1456,-12.0780
TER_0083.pdb,14.7590,-0.6310
TER_0084.pdb,52.9327,0.0000
TER_0085.pdb,18.4800,-11.1790
TER_0086.pdb,21.6939,-7.7880
TER_0087.pdb,21.2160,-8.0160
TER_0088.pdb,16.3993,-17.6990
TER_0089.pdb,48.6886,0.0000
TER_0090.pdb,11.2849,-16.2510
TER_0091.pdb,16.1083,-13.9570
TER_0092.pdb,13.0590,-5.8440
TER_0093.pdb,15.3086,-13.2860
TER_0094.pdb,14.4448,-17.9190
TER_0095.pdb,20.9621,-10.0270
TER_0096.pdb,16.5177,-15.4310
TER_0097.pdb,89.0569,0.0000
TER_0098.pdb,17.1558,-9.9360
TER_0099.pdb,16.9627,-15.1730
TER_0100.pdb,22.2353,-7.3810
TER_0101.pdb,22.4273,-15.1440
TER_0102.pdb,28.3706,0.0000
TER_0103.pdb,20.8486,-13.7550
TER_0104.pdb,12.4433,-12.6030
TER_0105.pdb,13.3804,-15.3650
TER_0106.pdb,28.0226,-14.9150
TER_0107.pdb,22.5340,-10.6270
TER_0108.pdb,16.2890,-12.0410
TER_0109.pdb,15.1953,-18.0260
TER_0110.pdb,15.0594,-11.6240
TER_0111.pdb,14.1792,-18.0680
TER_0112.pdb,17.3588,-5.4390
TER_0113.pdb,16.1826,-8.2030
TER_0114.pdb,14.0692,-15.4110
TER_0115.pdb,21.1673,-10.2510
TER_0116.pdb,14.5488,-12.3670
TER_0117.pdb,19.9591,-15.2020
TER_0118.pdb,13.8036,-10.9780
TER_0119.pdb,20.9107,-6.8870
TER_0120.pdb,12.3715,-15.2030
TER_0121.pdb,28.5467,-0.0260
TER_0122.pdb,14.7569,-12.4920
TER_0123.pdb,13.9557,-17.6450
TER_0124.pdb,24.8129,-6.9750
TER_0125.pdb,11.0980,-13.3440
TER_0126.pdb,11.7933,-12.6180
TER_0127.pdb,13.6915,-10.7460
TER_0128.pdb,16.7037,-11.7500
TER_0129.pdb,16.6812,-15.7050
TER_0130.pdb,14.5286,-15.0230
TER_0131.pdb,20.2483,-16.0020
TER_0132.pdb,17.2554,-7.7950
TER_0133.pdb,14.4514,-17.2770
TER_0134.pdb,17.3690,-10.6750
TER_0135.pdb,14.8348,-16.2800
TER_0136.pdb,13.9183,-16.1530
TER_0137.pdb,20.8094,-9.5900
TER_0138.pdb,16.3033,-4.3910
TER_0139.pdb,13.1009,-15.2860
TER_0140.pdb,15.3484,-13.3340
TER_0141.pdb,12.1572,-10.4760
TER_0142.pdb,14.3689,-18.6490
TER_0143.pdb,21.3066,-3.9330
TER_0144.pdb,10.5752,-12.2810
TER_0145.pdb,13.0878,-12.6320
TER_0146.pdb,22.5189,-18.4320
TER_0147.pdb,11.2927,-9.6300
TER_0148.pdb,24.6319,-1.0480
TER_0149.pdb,14.9459,-12.0580
TER_0150.pdb,24.1789,-8.5210
TER_0151.pdb,16.1226,-8.3910
TER_0152.pdb,25.1125,-1.5240
TER_0153.pdb,18.2135,-9.5610
TER_0154.pdb,23.3051,-10.4080
TER_0155.pdb,15.0667,-6.4650
TER_0156.pdb,15.9024,-10.9610
TER_0157.pdb,19.0196,-21.6130
TER_0158.pdb,25.6435,-13.8010
TER_0159.pdb,23.7374,-15.0540
TER_0160.pdb,18.9228,-2.4510
TER_0161.pdb,40.5012,0.0000
TER_0162.pdb,17.9227,-11.6150
TER_0163.pdb,24.8237,-9.2560
TER_0164.pdb,24.1576,-8.1260
TER_0165.pdb,11.4641,-18.2670
TER_0166.pdb,15.8633,-18.4330
TER_0167.pdb,12.8495,-12.4450
TER_0168.pdb,18.9716,-8.2250
TER_0169.pdb,22.2598,-10.7430
TER_0170.pdb,15.6980,-10.5770
TER_0171.pdb,10.1848,-13.3090
TER_0172.pdb,23.4285,-10.4420
TER_0173.pdb,23.0042,-18.2730
TER_0174.pdb,18.8603,-10.1570
TER_0175.pdb,24.9644,-7.3370
TER_0176.pdb,16.5468,-8.2790
TER_0177.pdb,15.1735,-14.2030
TER_0178.pdb,79.2595,0.0000
TER_0179.pdb,21.0615,-5.0270
TER_0180.pdb,12.0129,-18.1920
TER_0181.pdb,15.4351,-8.2440
TER_0182.pdb,31.4879,-7.9280
TER_0183.pdb,15.9659,-9.1340
TER_0184.pdb,12.8286,-17.5930
TER_0185.pdb,13.3950,-17.4890
TER_0186.pdb,16.7836,-9.2430
TER_0187.pdb,15.6477,-10.8840
TER_0188.pdb,25.8036,-8.7690
TER_0189.pdb,24.1341,-11.7060
TER_0190.pdb,14.2924,-7.4170
TER_0191.pdb,17.8361,-10.6750
TER_0192.pdb,21.8955,-17.0710
TER_0193.pdb,16.2407,-11.0990
